Cheftestant,Hometown,chef_url,status,Week,qf_win,qf_top3,qf_points,elim_win,elim_top3,elim_middle,elim_bottom,eliminated,elim_points,lck_win,lck_loss,lck_points,weekly_points
Brittany Anderson,"Richmond, VA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-brittanny-anderson.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avishar Barua,"Columbus, OH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-avishar-barua.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawn Burrell,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-dawn-burrell.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Erales,"Austin, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabe-erales.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson German,"Oakland, CA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-nelson-german.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Gomez,"Aspen, CO",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-byron-gomez.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasha Grumman,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sasha-grumman.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roscoe Hall,"Birmingham, AL",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-roscoe-hall.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sara Hauman,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sara-hauman_0.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiki Louya,"Detroit, MI",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-kiki-louya.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria Mazon,"Tucson, AZ",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-maria-mazon.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shota Nakajima,"Seattle, WA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-shota-nakajima.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Pascuzzi,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabriel-pascuzzi.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Tran,"Las Vegas, NV",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-jamie-tran.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Viaud,"Milford, NH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-chris-viaud.jpg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brittany Anderson,"Richmond, VA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-brittanny-anderson.jpg,,1,,,0,,,1,,,2,,,0,2
Avishar Barua,"Columbus, OH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-avishar-barua.jpg,,1,,,0,,,,1,,0,,,0,0
Dawn Burrell,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-dawn-burrell.jpg,,1,,,0,,,1,,,2,,,0,2
